id,company_name,country,categories,stands,exhibitions,years,appearance_count,extra_json
expo-00776,NOVİİ MİR LLC,Azərbaycan,MURMANSK VİLAYETİ,3F044-1,InterFood Azerbaijan,2023,1,"{""appearances"": [{""exhibition"": ""interfood"", ""exhibition_label"": ""InterFood Azerbaijan"", ""year"": ""2023"", ""category"": ""MURMANSK VİLAYETİ"", ""stand"": ""3F044-1"", ""company_id"": """", ""source_url"": ""https://interfood.az/az/exhibitors-list/year/2023""}]}"
expo-00777,NPC AGRO SERVICES,Azərbaycan,MEDİA | TƏRƏFDAŞ,A1219 | A2049 | A2405,Caspian Agro Week,2019 | 2021 | 2022,3,"{""appearances"": [{""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2019"", ""category"": ""MEDİA"", ""stand"": ""A2049"", ""company_id"": ""5475"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2019""}, {""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2021"", ""category"": ""TƏRƏFDAŞ"", ""stand"": ""A1219"", ""company_id"": ""5475"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2021""}, {""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""A2405"", ""company_id"": ""5475"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2022""}]}"
expo-00778,NYUKOND MMC,Azərbaycan,TƏRƏFDAŞLAR,A2130/A2226,Aquatherm Baku | Securex Caspian,2019,2,"{""appearances"": [{""exhibition"": ""aquatherm"", ""exhibition_label"": ""Aquatherm Baku"", ""year"": ""2019"", ""category"": ""TƏRƏFDAŞLAR"", ""stand"": ""A2130/A2226"", ""company_id"": ""5538"", ""source_url"": ""https://aquatherm.az/az/exhibitors-list/year/2019""}, {""exhibition"": ""securexcaspian"", ""exhibition_label"": ""Securex Caspian"", ""year"": ""2019"", ""category"": ""TƏRƏFDAŞLAR"", ""stand"": ""A2130/A2226"", ""company_id"": ""5538"", ""source_url"": ""https://securexcaspian.az/az/exhibitors-list/year/2019""}]}"
expo-00779,OCEAANİXX,Azərbaycan,MEDİA,,TransLogistica Caspian,2023,1,"{""appearances"": [{""exhibition"": ""translogistica"", ""exhibition_label"": ""TransLogistica Caspian"", ""year"": ""2023"", ""category"": ""MEDİA"", ""stand"": ""-"", ""company_id"": ""273610"", ""source_url"": ""https://translogistica.az/az/exhibitors-list/year/2023""}]}"
expo-00780,OCTOPUS MMC,Azərbaycan,MEDİA,A3106-5,Caspian Agro Week,2022,1,"{""appearances"": [{""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""A3106-5"", ""company_id"": ""7069"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2022""}]}"
expo-00781,ODEL MMC,Azərbaycan,NAXÇIVAN MUXTAR RESPUBLİKASININ MİLLİ STENDİ,1F040-4,InterFood Azerbaijan,2025,1,"{""appearances"": [{""exhibition"": ""interfood"", ""exhibition_label"": ""InterFood Azerbaijan"", ""year"": ""2025"", ""category"": ""NAXÇIVAN MUXTAR RESPUBLİKASININ MİLLİ STENDİ"", ""stand"": ""1F040-4"", ""company_id"": """", ""source_url"": ""https://interfood.az/az/exhibitors-list/year/2025""}]}"
expo-00782,OFFISSA DIZAYN KO MMC,Azərbaycan,MEDİA,B2318,BakuBuild,2022,1,"{""appearances"": [{""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""B2318"", ""company_id"": ""7712"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2022""}]}"
expo-00783,OİL SUPPLY LLC,Azərbaycan,MEDİA,C2004,Caspian Oil & Gas,2022,1,"{""appearances"": [{""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""C2004"", ""company_id"": ""6961"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2022""}]}"
expo-00784,OİLGAS.AZ,Azərbaycan,MEDİA,P118,Caspian Oil & Gas,2019,1,"{""appearances"": [{""exhibition"": ""caspianoilgas"", ""exhibition_label"": ""Caspian Oil & Gas"", ""year"": ""2019"", ""category"": ""MEDİA"", ""stand"": ""P118"", ""company_id"": ""5337"", ""source_url"": ""https://caspianoilgas.az/az/exhibitors-list/year/2019""}]}"
expo-00785,OLD BAKU CONSTRUCTİPN MMC,Azərbaycan,MEDİA | TƏRƏFDAŞLAR,,BakuBuild | Caspian Agro Week,2023 | 2025,2,"{""appearances"": [{""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2025"", ""category"": ""TƏRƏFDAŞLAR"", ""stand"": ""-"", ""company_id"": ""276145"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2025""}, {""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2023"", ""category"": ""MEDİA"", ""stand"": ""-"", ""company_id"": ""276145"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2023""}]}"
expo-00786,OMAX SƏNAYE QRUPU MMC,Azərbaycan,MEDİA,2B300,BakuBuild,2024,1,"{""appearances"": [{""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2024"", ""category"": ""MEDİA"", ""stand"": ""2B300"", ""company_id"": ""314114"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2024""}]}"
expo-00787,ONE TOUCH TRADE AND LOGİSTİCS MMC,Azərbaycan,MEDİA,2T432 | T2042,TransLogistica Caspian,2022 | 2023,2,"{""appearances"": [{""exhibition"": ""translogistica"", ""exhibition_label"": ""TransLogistica Caspian"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""T2042"", ""company_id"": ""7307"", ""source_url"": ""https://translogistica.az/az/exhibitors-list/year/2022""}, {""exhibition"": ""translogistica"", ""exhibition_label"": ""TransLogistica Caspian"", ""year"": ""2023"", ""category"": ""MEDİA"", ""stand"": ""2T432"", ""company_id"": ""274316"", ""source_url"": ""https://translogistica.az/az/exhibitors-list/year/2023""}]}"
expo-00788,ONUR PLAST MMC,Azərbaycan,MEDİA | NAXÇIVAN MUXTAR RESPUBLİKASININ MİLLİ STENDİ | TƏRƏFDAŞ,1F040-1 | A1222,Caspian Agro Week | InterFood Azerbaijan,2021 | 2022 | 2025,3,"{""appearances"": [{""exhibition"": ""interfood"", ""exhibition_label"": ""InterFood Azerbaijan"", ""year"": ""2025"", ""category"": ""NAXÇIVAN MUXTAR RESPUBLİKASININ MİLLİ STENDİ"", ""stand"": ""1F040-1"", ""company_id"": """", ""source_url"": ""https://interfood.az/az/exhibitors-list/year/2025""}, {""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2021"", ""category"": ""TƏRƏFDAŞ"", ""stand"": ""A1222"", ""company_id"": ""6247"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2021""}, {""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""A1222"", ""company_id"": ""6247"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2022""}]}"
expo-00789,ONWAY.AZ,Azərbaycan,MEDİA | ŞİRVAN AQRO MMC,M104,Caspian Agro Week | InterFood Azerbaijan,2026,2,"{""appearances"": [{""exhibition"": ""interfood"", ""exhibition_label"": ""InterFood Azerbaijan"", ""year"": ""2026"", ""category"": ""ŞİRVAN AQRO MMC"", ""stand"": ""-"", ""company_id"": ""353004"", ""source_url"": ""https://interfood.az/az/exhibitors-list/year/2026""}, {""exhibition"": ""caspianagroweek"", ""exhibition_label"": ""Caspian Agro Week"", ""year"": ""2026"", ""category"": ""MEDİA"", ""stand"": ""M104"", ""company_id"": ""353004"", ""source_url"": ""https://caspianagroweek.az/az/exhibitors-list/year/2026""}]}"
expo-00790,OPEN SYSTEMS MMC,Azərbaycan,MEDİA,B1108,BakuBuild,2022,1,"{""appearances"": [{""exhibition"": ""bakubuild"", ""exhibition_label"": ""BakuBuild"", ""year"": ""2022"", ""category"": ""MEDİA"", ""stand"": ""B1108"", ""company_id"": ""7172"", ""source_url"": ""https://bakubuild.az/az/exhibitors-list/year/2022""}]}"
