id,company_name,country,category,stand,exhibition_site,exhibition_label,exhibition_year,exhibition_id,company_id,source_url
expo-raw-000087,EVEREST KİŞ ŞİRKƏTİ,Azərbaycan,TƏRƏFDAŞLAR,B2122,bakubuild,BakuBuild,2021,210,6763,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000088,EVİM CONSRTUCTİON MMC,Azərbaycan,TƏRƏFDAŞLAR,B1076,bakubuild,BakuBuild,2021,210,6537,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000089,GLOBAL INTERIORS GROUP MMC,Azərbaycan,TƏRƏFDAŞLAR,B1080,bakubuild,BakuBuild,2021,210,6673,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000090,GREENWICH TRAVEL CLUB,Azərbaycan,TƏRƏFDAŞLAR,-,bakubuild,BakuBuild,2021,210,4816,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000091,GƏMİQAYA HOLDİNQ,Azərbaycan,TƏRƏFDAŞLAR,B1216,bakubuild,BakuBuild,2021,210,6735,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000092,KONTİNENT İNŞAAT MMC,Azərbaycan,TƏRƏFDAŞLAR,B2218,bakubuild,BakuBuild,2021,210,6758,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000093,MASTER TOOLS MMC-NİN AZƏRBAYCAN RESPUBLİKASINDAKI  FİLİALI,Azərbaycan,TƏRƏFDAŞLAR,B1310,bakubuild,BakuBuild,2021,210,6311,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000094,MAYBO MMC,Azərbaycan,TƏRƏFDAŞLAR,B1120,bakubuild,BakuBuild,2021,210,4735,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000095,MƏRMƏR XALÇA CONTRUCTİON,Azərbaycan,TƏRƏFDAŞLAR,B1224,bakubuild,BakuBuild,2021,210,6656,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000096,NABUCCO A&C,Azərbaycan,TƏRƏFDAŞLAR,B1324,bakubuild,BakuBuild,2021,210,4654,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000097,NB HOLDİNQ ASC,Azərbaycan,TƏRƏFDAŞLAR,B1122,bakubuild,BakuBuild,2021,210,5525,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000098,NI GROUP MMC,Azərbaycan,TƏRƏFDAŞLAR,B1226,bakubuild,BakuBuild,2021,210,6447,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000099,NORM ASC,Azərbaycan,TƏRƏFDAŞLAR,B2210,bakubuild,BakuBuild,2021,210,6800,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000100,NİLA KİMYA AZ,Azərbaycan,TƏRƏFDAŞLAR,B1336,bakubuild,BakuBuild,2021,210,,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000101,PANDA BOYA,Azərbaycan,TƏRƏFDAŞLAR,B1222,bakubuild,BakuBuild,2021,210,5617,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000102,SUMQAYIT TEXNOLOGİYALAR PARKI MMC,Azərbaycan,TƏRƏFDAŞLAR,K1204,bakubuild,BakuBuild,2021,210,6250,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000103,SİKA MMC,Azərbaycan,TƏRƏFDAŞLAR,B2216,bakubuild,BakuBuild,2021,210,6268,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000104,TECHNOGYM AZƏRBAYCAN,Azərbaycan,TƏRƏFDAŞLAR,B1318-B1118,bakubuild,BakuBuild,2021,210,6652,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000105,TUTTO BELLO MMC,Azərbaycan,TƏRƏFDAŞLAR,B1112,bakubuild,BakuBuild,2021,210,6733,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000106,WORKPLACE INTERIORS,Azərbaycan,TƏRƏFDAŞLAR,K2303,bakubuild,BakuBuild,2021,210,6834,https://bakubuild.az/az/exhibitors-list/year/2021
expo-raw-000107,1 NEWS İNFORMASİYA AGENTLİYİ MMC,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,4265,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000108,ALP XƏBƏR,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,7530,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000109,APA GROUP,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,4257,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000110,BAGCAM.AZ,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000111,BİZNES DÜNYASI JURNALI,Azərbaycan,MEDİA,P104,bakubuild,BakuBuild,2022,230,,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000112,FİNEKO AİA,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,4266,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000113,SALAMNEWS İNFORMASİYA AGENTLİYİ,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,4267,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000114,ADIS AZERBAİJAN MMC,Azərbaycan,MEDİA,B1208,bakubuild,BakuBuild,2022,230,7047,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000115,ASSAN-STP PANEL MMC,Azərbaycan,MEDİA,B2410,bakubuild,BakuBuild,2022,230,7361,https://bakubuild.az/az/exhibitors-list/year/2022
expo-raw-000116,AZƏRBAYCAN MEMARLAR İTTİFAQI,Azərbaycan,MEDİA,-,bakubuild,BakuBuild,2022,230,5652,https://bakubuild.az/az/exhibitors-list/year/2022
